order_date,region,product,units_sold,unit_price,revenue
2024-01-01,East,Widget B,27.0,19.99,539.73
2024-01-01,North,Widget A,11.0,9.99,109.89
2024-01-01,West,Widget C,26.0,19.99,519.74
2024-01-01,West,Widget C,29.0,49.99,1449.71
2024-01-02,South,Widget A,23.0,19.99,459.77
2024-01-02,North,Widget C,10.0,19.99,199.9
2024-01-02,East,Widget A,33.0,49.99,1649.67
2024-01-03,South,Widget C,33.0,29.99,989.67
2024-01-03,South,Widget C,14.0,29.99,419.86
2024-01-03,East,Widget B,2.0,9.99,19.98
2024-01-03,South,Widget C,18.0,49.99,899.82
2024-01-03,North,Widget C,15.0,9.99,149.85
2024-01-03,North,Widget A,48.0,29.99,1439.52
2024-01-03,North,Widget A,28.0,29.99,839.72
2024-01-03,South,Widget B,42.0,29.99,1259.58
2024-01-03,East,Widget C,39.0,9.99,389.61
2024-01-04,South,Widget B,7.0,19.99,139.93
2024-01-04,West,Widget C,7.0,49.99,349.93
2024-01-05,West,Widget B,25.0,49.99,1249.75
2024-01-05,West,Widget A,6.0,19.99,119.94
2024-01-05,North,Widget A,5.0,29.99,149.95
2024-01-05,West,Widget A,3.0,9.99,29.97
2024-01-05,North,Widget B,12.0,49.99,599.88
2024-01-05,East,Widget B,2.0,29.99,59.98
2024-01-06,East,Widget A,26.0,49.99,1299.74
2024-01-06,North,Widget C,39.0,19.99,779.61
2024-01-06,North,Widget C,35.0,29.99,1049.65
2024-01-06,East,Widget A,9.0,19.99,179.91
2024-01-07,North,Widget C,34.0,49.99,1699.66
2024-01-07,West,Widget B,37.0,19.99,739.63
2024-01-07,West,Widget B,42.0,29.99,1259.58
2024-01-08,North,Widget C,4.0,29.99,119.96
2024-01-08,East,Widget C,26.0,29.99,779.74
2024-01-08,North,Widget A,46.0,29.99,1379.54
2024-01-09,North,Widget B,5.0,29.99,149.95
2024-01-09,North,Widget B,27.0,49.99,1349.73
2024-01-10,South,Widget B,12.0,29.99,359.88
2024-01-10,South,Widget C,7.0,29.99,209.93
2024-01-10,North,Widget B,18.0,29.99,539.82
2024-01-10,East,Widget A,21.0,49.99,1049.79
2024-01-10,North,Widget C,27.0,19.99,539.73
2024-01-11,East,Widget B,32.0,9.99,319.68
2024-01-11,West,Widget B,8.0,49.99,399.92
2024-01-12,West,Widget A,10.0,19.99,199.9
2024-01-12,North,Widget A,40.0,9.99,399.6
2024-01-12,South,Widget C,7.0,49.99,349.93
2024-01-13,North,Widget C,42.0,49.99,2099.58
2024-01-13,North,Widget C,2.0,19.99,39.98
2024-01-13,South,Widget B,10.0,9.99,99.9
2024-01-13,South,Widget B,38.0,9.99,379.62
2024-01-13,West,Widget C,38.0,29.99,1139.62
2024-01-13,East,Widget C,29.0,29.99,869.71
2024-01-14,South,Widget C,34.0,29.99,1019.66
2024-01-14,West,Widget C,34.0,29.99,1019.66
2024-01-14,North,Widget B,15.0,49.99,749.85
2024-01-14,East,Widget B,39.0,19.99,779.61
